instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,timestamp,hour_sin,hour_cos,month_sin,month_cos
4072,2011-06-23,3,0,6,13,0,4,1,2,0.76,0.7121,0.62,0.2836,37,149,186,2011-06-23 13:00:00,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0
4073,2011-06-23,3,0,6,14,0,4,1,2,0.76,0.7273,0.66,0.2985,46,103,149,2011-06-23 14:00:00,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0
4074,2011-06-23,3,0,6,15,0,4,1,2,0.76,0.697,0.52,0.3582,62,127,189,2011-06-23 15:00:00,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0
4075,2011-06-23,3,0,6,16,0,4,1,2,0.74,0.6818,0.62,0.2985,58,217,275,2011-06-23 16:00:00,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0
4076,2011-06-23,3,0,6,17,0,4,1,2,0.72,0.6818,0.7,0.3582,74,495,569,2011-06-23 17:00:00,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
4077,2011-06-23,3,0,6,18,0,4,1,1,0.72,0.6818,0.7,0.4179,57,483,540,2011-06-23 18:00:00,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0
4078,2011-06-23,3,0,6,19,0,4,1,1,0.72,0.6818,0.7,0.3582,56,344,400,2011-06-23 19:00:00,-0.9659258262890684,0.2588190451025203,1.2246467991473532e-16,-1.0
4079,2011-06-23,3,0,6,20,0,4,1,1,0.7,0.6667,0.74,0.2239,75,277,352,2011-06-23 20:00:00,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
4080,2011-06-23,3,0,6,21,0,4,1,1,0.7,0.6667,0.74,0.194,46,188,234,2011-06-23 21:00:00,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0
4081,2011-06-23,3,0,6,22,0,4,1,2,0.7,0.6667,0.74,0.2239,23,139,162,2011-06-23 22:00:00,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0
4082,2011-06-23,3,0,6,23,0,4,1,1,0.7,0.6667,0.74,0.2836,15,90,105,2011-06-23 23:00:00,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0
4083,2011-06-24,3,0,6,0,0,5,1,1,0.68,0.6364,0.79,0.194,10,53,63,2011-06-24 00:00:00,0.0,1.0,1.2246467991473532e-16,-1.0
4084,2011-06-24,3,0,6,1,0,5,1,1,0.66,0.6061,0.83,0.3284,8,20,28,2011-06-24 01:00:00,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0
4085,2011-06-24,3,0,6,2,0,5,1,1,0.66,0.6061,0.83,0.3284,4,10,14,2011-06-24 02:00:00,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0
4086,2011-06-24,3,0,6,3,0,5,1,1,0.66,0.6061,0.83,0.1642,1,4,5,2011-06-24 03:00:00,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0
4087,2011-06-24,3,0,6,4,0,5,1,1,0.66,0.6061,0.83,0.0896,1,8,9,2011-06-24 04:00:00,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
4088,2011-06-24,3,0,6,5,0,5,1,1,0.64,0.5758,0.89,0.0896,2,18,20,2011-06-24 05:00:00,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0
4089,2011-06-24,3,0,6,6,0,5,1,1,0.66,0.6061,0.83,0.1343,4,87,91,2011-06-24 06:00:00,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
4090,2011-06-24,3,0,6,7,0,5,1,2,0.66,0.6061,0.83,0.2239,21,247,268,2011-06-24 07:00:00,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
4091,2011-06-24,3,0,6,8,0,5,1,1,0.7,0.6667,0.74,0.2239,27,439,466,2011-06-24 08:00:00,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
4092,2011-06-24,3,0,6,9,0,5,1,1,0.74,0.6818,0.62,0.1343,28,203,231,2011-06-24 09:00:00,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0
4093,2011-06-24,3,0,6,10,0,5,1,1,0.8,0.7273,0.43,0.2836,43,102,145,2011-06-24 10:00:00,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0
4094,2011-06-24,3,0,6,11,0,5,1,1,0.8,0.7121,0.38,0.3284,56,147,203,2011-06-24 11:00:00,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0
4095,2011-06-24,3,0,6,12,0,5,1,1,0.8,0.7121,0.41,0.2836,51,150,201,2011-06-24 12:00:00,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
4096,2011-06-24,3,0,6,13,0,5,1,1,0.8,0.7121,0.36,0.2239,43,178,221,2011-06-24 13:00:00,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0
4097,2011-06-24,3,0,6,14,0,5,1,1,0.78,0.697,0.43,0.2836,67,162,229,2011-06-24 14:00:00,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0
4098,2011-06-24,3,0,6,15,0,5,1,1,0.82,0.7273,0.34,0.3881,69,147,216,2011-06-24 15:00:00,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0
4099,2011-06-24,3,0,6,16,0,5,1,1,0.8,0.697,0.33,0.4179,80,247,327,2011-06-24 16:00:00,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0
4100,2011-06-24,3,0,6,17,0,5,1,1,0.76,0.6667,0.37,0.2537,85,472,557,2011-06-24 17:00:00,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
4101,2011-06-24,3,0,6,18,0,5,1,1,0.76,0.6667,0.37,0.2985,87,365,452,2011-06-24 18:00:00,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0
4102,2011-06-24,3,0,6,19,0,5,1,1,0.74,0.6515,0.4,0.2239,92,293,385,2011-06-24 19:00:00,-0.9659258262890684,0.2588190451025203,1.2246467991473532e-16,-1.0
4103,2011-06-24,3,0,6,20,0,5,1,1,0.72,0.6515,0.45,0.1642,66,222,288,2011-06-24 20:00:00,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
4104,2011-06-24,3,0,6,21,0,5,1,1,0.7,0.6515,0.48,0.1343,50,183,233,2011-06-24 21:00:00,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0
4105,2011-06-24,3,0,6,22,0,5,1,1,0.7,0.6515,0.48,0.0,41,126,167,2011-06-24 22:00:00,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0
4106,2011-06-24,3,0,6,23,0,5,1,1,0.68,0.6364,0.51,0.1343,33,139,172,2011-06-24 23:00:00,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0
4107,2011-06-25,3,0,6,0,0,6,0,1,0.68,0.6364,0.47,0.1642,19,97,116,2011-06-25 00:00:00,0.0,1.0,1.2246467991473532e-16,-1.0
4108,2011-06-25,3,0,6,1,0,6,0,1,0.66,0.6212,0.5,0.1642,20,75,95,2011-06-25 01:00:00,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0
4109,2011-06-25,3,0,6,2,0,6,0,2,0.66,0.6212,0.5,0.194,8,51,59,2011-06-25 02:00:00,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0
4110,2011-06-25,3,0,6,3,0,6,0,1,0.64,0.6212,0.57,0.194,18,21,39,2011-06-25 03:00:00,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0
4111,2011-06-25,3,0,6,4,0,6,0,1,0.64,0.6212,0.57,0.194,7,4,11,2011-06-25 04:00:00,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
4112,2011-06-25,3,0,6,5,0,6,0,1,0.62,0.6061,0.61,0.1343,6,8,14,2011-06-25 05:00:00,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0
4113,2011-06-25,3,0,6,6,0,6,0,1,0.64,0.6212,0.57,0.2239,12,17,29,2011-06-25 06:00:00,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
4114,2011-06-25,3,0,6,7,0,6,0,1,0.64,0.6212,0.57,0.2836,7,35,42,2011-06-25 07:00:00,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
4115,2011-06-25,3,0,6,8,0,6,0,1,0.7,0.6515,0.48,0.2537,27,85,112,2011-06-25 08:00:00,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
4116,2011-06-25,3,0,6,9,0,6,0,1,0.72,0.6515,0.45,0.2537,47,139,186,2011-06-25 09:00:00,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0
4117,2011-06-25,3,0,6,10,0,6,0,1,0.72,0.6515,0.45,0.194,99,203,302,2011-06-25 10:00:00,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0
4118,2011-06-25,3,0,6,11,0,6,0,1,0.74,0.6667,0.42,0.0,122,209,331,2011-06-25 11:00:00,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0
4119,2011-06-25,3,0,6,12,0,6,0,1,0.74,0.6515,0.4,0.2836,140,252,392,2011-06-25 12:00:00,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
4120,2011-06-25,3,0,6,13,0,6,0,1,0.74,0.6515,0.4,0.2836,140,231,371,2011-06-25 13:00:00,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0
4121,2011-06-25,3,0,6,14,0,6,0,1,0.74,0.6667,0.45,0.2985,151,232,383,2011-06-25 14:00:00,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0
4122,2011-06-25,3,0,6,15,0,6,0,1,0.74,0.6667,0.45,0.0,157,235,392,2011-06-25 15:00:00,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0
4123,2011-06-25,3,0,6,16,0,6,0,1,0.76,0.6818,0.43,0.2985,175,235,410,2011-06-25 16:00:00,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0
4124,2011-06-25,3,0,6,17,0,6,0,1,0.74,0.6667,0.42,0.2239,152,247,399,2011-06-25 17:00:00,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
4125,2011-06-25,3,0,6,18,0,6,0,1,0.72,0.6515,0.45,0.2537,108,199,307,2011-06-25 18:00:00,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0
4126,2011-06-25,3,0,6,19,0,6,0,1,0.72,0.6667,0.48,0.2836,121,254,375,2011-06-25 19:00:00,-0.9659258262890684,0.2588190451025203,1.2246467991473532e-16,-1.0
4127,2011-06-25,3,0,6,20,0,6,0,1,0.7,0.6515,0.48,0.194,74,195,269,2011-06-25 20:00:00,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
4128,2011-06-25,3,0,6,21,0,6,0,1,0.68,0.6364,0.51,0.1642,62,140,202,2011-06-25 21:00:00,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0
4129,2011-06-25,3,0,6,22,0,6,0,1,0.68,0.6364,0.47,0.194,61,126,187,2011-06-25 22:00:00,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0
4130,2011-06-25,3,0,6,23,0,6,0,2,0.66,0.6212,0.5,0.2985,49,130,179,2011-06-25 23:00:00,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0
4131,2011-06-26,3,0,6,0,0,0,0,1,0.64,0.6212,0.53,0.0,30,85,115,2011-06-26 00:00:00,0.0,1.0,1.2246467991473532e-16,-1.0
4132,2011-06-26,3,0,6,1,0,0,0,1,0.64,0.6212,0.53,0.1045,17,73,90,2011-06-26 01:00:00,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0
4133,2011-06-26,3,0,6,2,0,0,0,1,0.62,0.6212,0.57,0.1045,17,70,87,2011-06-26 02:00:00,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0
4134,2011-06-26,3,0,6,3,0,0,0,1,0.6,0.6061,0.64,0.1045,12,22,34,2011-06-26 03:00:00,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0
4135,2011-06-26,3,0,6,4,0,0,0,1,0.6,0.6061,0.64,0.0896,3,8,11,2011-06-26 04:00:00,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
4136,2011-06-26,3,0,6,5,0,0,0,1,0.6,0.6061,0.64,0.0,3,9,12,2011-06-26 05:00:00,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0
4137,2011-06-26,3,0,6,6,0,0,0,1,0.6,0.6061,0.64,0.0,7,13,20,2011-06-26 06:00:00,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
4138,2011-06-26,3,0,6,7,0,0,0,1,0.62,0.6061,0.61,0.0,24,27,51,2011-06-26 07:00:00,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
4139,2011-06-26,3,0,6,8,0,0,0,1,0.64,0.6212,0.61,0.194,29,78,107,2011-06-26 08:00:00,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
4140,2011-06-26,3,0,6,9,0,0,0,1,0.66,0.6212,0.54,0.0896,75,131,206,2011-06-26 09:00:00,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0
4141,2011-06-26,3,0,6,10,0,0,0,1,0.72,0.6667,0.48,0.1045,136,196,332,2011-06-26 10:00:00,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0
4142,2011-06-26,3,0,6,11,0,0,0,1,0.72,0.6515,0.45,0.1343,127,219,346,2011-06-26 11:00:00,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0
4143,2011-06-26,3,0,6,12,0,0,0,1,0.74,0.6515,0.4,0.1642,175,268,443,2011-06-26 12:00:00,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
4144,2011-06-26,3,0,6,13,0,0,0,1,0.74,0.6515,0.4,0.0,197,245,442,2011-06-26 13:00:00,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0
4145,2011-06-26,3,0,6,14,0,0,0,1,0.74,0.6515,0.4,0.1343,197,246,443,2011-06-26 14:00:00,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0
4146,2011-06-26,3,0,6,15,0,0,0,1,0.74,0.6515,0.4,0.0,174,229,403,2011-06-26 15:00:00,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0
4147,2011-06-26,3,0,6,16,0,0,0,1,0.74,0.6667,0.42,0.194,177,278,455,2011-06-26 16:00:00,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0
4148,2011-06-26,3,0,6,17,0,0,0,2,0.72,0.6515,0.42,0.1642,178,243,421,2011-06-26 17:00:00,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
4149,2011-06-26,3,0,6,18,0,0,0,2,0.72,0.6515,0.45,0.2537,117,265,382,2011-06-26 18:00:00,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0
4150,2011-06-26,3,0,6,19,0,0,0,2,0.72,0.6667,0.48,0.1343,89,228,317,2011-06-26 19:00:00,-0.9659258262890684,0.2588190451025203,1.2246467991473532e-16,-1.0
4151,2011-06-26,3,0,6,20,0,0,0,2,0.7,0.6515,0.48,0.1045,55,158,213,2011-06-26 20:00:00,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
4152,2011-06-26,3,0,6,21,0,0,0,2,0.7,0.6515,0.54,0.1045,48,135,183,2011-06-26 21:00:00,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0
4153,2011-06-26,3,0,6,22,0,0,0,1,0.7,0.6515,0.51,0.0,19,95,114,2011-06-26 22:00:00,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0
4154,2011-06-26,3,0,6,23,0,0,0,1,0.7,0.6515,0.54,0.0896,14,64,78,2011-06-26 23:00:00,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0
4155,2011-06-27,3,0,6,0,0,1,1,3,0.64,0.6061,0.73,0.2836,7,25,32,2011-06-27 00:00:00,0.0,1.0,1.2246467991473532e-16,-1.0
4156,2011-06-27,3,0,6,1,0,1,1,2,0.62,0.5909,0.78,0.1343,4,11,15,2011-06-27 01:00:00,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0
4157,2011-06-27,3,0,6,2,0,1,1,3,0.62,0.5909,0.78,0.1343,3,3,6,2011-06-27 02:00:00,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0
4158,2011-06-27,3,0,6,3,0,1,1,3,0.62,0.5909,0.78,0.1343,0,2,2,2011-06-27 03:00:00,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0
4159,2011-06-27,3,0,6,4,0,1,1,2,0.6,0.5606,0.83,0.1642,1,8,9,2011-06-27 04:00:00,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
4160,2011-06-27,3,0,6,5,0,1,1,2,0.62,0.5758,0.83,0.1642,1,21,22,2011-06-27 05:00:00,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0
4161,2011-06-27,3,0,6,6,0,1,1,2,0.62,0.5909,0.78,0.1642,4,90,94,2011-06-27 06:00:00,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
4162,2011-06-27,3,0,6,7,0,1,1,2,0.64,0.6061,0.73,0.2239,14,247,261,2011-06-27 07:00:00,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
4163,2011-06-27,3,0,6,8,0,1,1,1,0.66,0.6212,0.74,0.194,29,418,447,2011-06-27 08:00:00,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
4164,2011-06-27,3,0,6,9,0,1,1,2,0.72,0.6667,0.54,0.0,37,150,187,2011-06-27 09:00:00,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0
4165,2011-06-27,3,0,6,10,0,1,1,2,0.72,0.6667,0.54,0.1343,55,95,150,2011-06-27 10:00:00,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0
4166,2011-06-27,3,0,6,11,0,1,1,2,0.7,0.6515,0.58,0.0,55,95,150,2011-06-27 11:00:00,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0
4167,2011-06-27,3,0,6,12,0,1,1,2,0.72,0.6667,0.54,0.0,40,130,170,2011-06-27 12:00:00,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
4168,2011-06-27,3,0,6,13,0,1,1,2,0.72,0.6667,0.58,0.2239,37,127,164,2011-06-27 13:00:00,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0
4169,2011-06-27,3,0,6,14,0,1,1,2,0.72,0.6667,0.58,0.0896,58,100,158,2011-06-27 14:00:00,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0
4170,2011-06-27,3,0,6,15,0,1,1,2,0.74,0.6818,0.55,0.0,76,126,202,2011-06-27 15:00:00,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0
4171,2011-06-27,3,0,6,16,0,1,1,1,0.74,0.6818,0.55,0.1045,53,222,275,2011-06-27 16:00:00,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0
4172,2011-06-27,3,0,6,17,0,1,1,1,0.74,0.6818,0.55,0.1343,90,514,604,2011-06-27 17:00:00,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
4173,2011-06-27,3,0,6,18,0,1,1,1,0.74,0.6667,0.51,0.0,79,512,591,2011-06-27 18:00:00,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0
4174,2011-06-27,3,0,6,19,0,1,1,1,0.72,0.6818,0.62,0.194,56,340,396,2011-06-27 19:00:00,-0.9659258262890684,0.2588190451025203,1.2246467991473532e-16,-1.0
4175,2011-06-27,3,0,6,20,0,1,1,1,0.7,0.6515,0.65,0.1045,54,251,305,2011-06-27 20:00:00,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
4176,2011-06-27,3,0,6,21,0,1,1,1,0.7,0.6515,0.65,0.0,52,190,242,2011-06-27 21:00:00,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0
4177,2011-06-27,3,0,6,22,0,1,1,1,0.68,0.6364,0.69,0.0,33,112,145,2011-06-27 22:00:00,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0
4178,2011-06-27,3,0,6,23,0,1,1,1,0.68,0.6364,0.69,0.0,16,65,81,2011-06-27 23:00:00,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0
4179,2011-06-28,3,0,6,0,0,2,1,2,0.66,0.6061,0.78,0.1343,5,25,30,2011-06-28 00:00:00,0.0,1.0,1.2246467991473532e-16,-1.0
4180,2011-06-28,3,0,6,1,0,2,1,1,0.66,0.6212,0.74,0.0,5,8,13,2011-06-28 01:00:00,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0
4181,2011-06-28,3,0,6,2,0,2,1,2,0.66,0.6212,0.74,0.0,2,9,11,2011-06-28 02:00:00,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0
4182,2011-06-28,3,0,6,3,0,2,1,2,0.66,0.6212,0.74,0.0,0,2,2,2011-06-28 03:00:00,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0
4183,2011-06-28,3,0,6,4,0,2,1,1,0.66,0.6212,0.74,0.0,1,7,8,2011-06-28 04:00:00,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
4184,2011-06-28,3,0,6,5,0,2,1,1,0.66,0.6061,0.78,0.0,1,20,21,2011-06-28 05:00:00,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0
4185,2011-06-28,3,0,6,6,0,2,1,1,0.66,0.6061,0.83,0.1642,7,117,124,2011-06-28 06:00:00,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
4186,2011-06-28,3,0,6,7,0,2,1,1,0.68,0.6364,0.83,0.194,27,320,347,2011-06-28 07:00:00,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
4187,2011-06-28,3,0,6,8,0,2,1,1,0.7,0.6667,0.79,0.1642,39,417,456,2011-06-28 08:00:00,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
4188,2011-06-28,3,0,6,9,0,2,1,1,0.74,0.697,0.7,0.0,38,208,246,2011-06-28 09:00:00,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0
4189,2011-06-28,3,0,6,10,0,2,1,1,0.8,0.7424,0.49,0.1642,45,112,157,2011-06-28 10:00:00,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0
4190,2011-06-28,3,0,6,11,0,2,1,1,0.82,0.7576,0.46,0.0,49,118,167,2011-06-28 11:00:00,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0
4191,2011-06-28,3,0,6,12,0,2,1,1,0.84,0.7727,0.47,0.2239,41,161,202,2011-06-28 12:00:00,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
4192,2011-06-28,3,0,6,13,0,2,1,1,0.84,0.7576,0.44,0.0,33,156,189,2011-06-28 13:00:00,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0
4193,2011-06-28,3,0,6,14,0,2,1,1,0.86,0.7879,0.44,0.2239,43,117,160,2011-06-28 14:00:00,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0
4194,2011-06-28,3,0,6,15,0,2,1,1,0.86,0.7879,0.41,0.0,39,127,166,2011-06-28 15:00:00,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0
4195,2011-06-28,3,0,6,16,0,2,1,1,0.86,0.803,0.47,0.2836,41,220,261,2011-06-28 16:00:00,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0
4196,2011-06-28,3,0,6,17,0,2,1,3,0.82,0.7879,0.56,0.2836,70,509,579,2011-06-28 17:00:00,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
4197,2011-06-28,3,0,6,18,0,2,1,3,0.8,0.7576,0.55,0.2985,68,436,504,2011-06-28 18:00:00,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0
4198,2011-06-28,3,0,6,19,0,2,1,2,0.74,0.6818,0.58,0.4627,44,255,299,2011-06-28 19:00:00,-0.9659258262890684,0.2588190451025203,1.2246467991473532e-16,-1.0
4199,2011-06-28,3,0,6,20,0,2,1,1,0.74,0.6818,0.62,0.0,50,246,296,2011-06-28 20:00:00,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
4200,2011-06-28,3,0,6,21,0,2,1,1,0.74,0.697,0.66,0.2836,31,164,195,2011-06-28 21:00:00,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0
4201,2011-06-28,3,0,6,22,0,2,1,1,0.7,0.6515,0.7,0.2985,30,104,134,2011-06-28 22:00:00,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0
4202,2011-06-28,3,0,6,23,0,2,1,1,0.7,0.6515,0.7,0.2836,23,58,81,2011-06-28 23:00:00,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0
4203,2011-06-29,3,0,6,0,0,3,1,2,0.68,0.6364,0.79,0.2836,11,25,36,2011-06-29 00:00:00,0.0,1.0,1.2246467991473532e-16,-1.0
4204,2011-06-29,3,0,6,1,0,3,1,1,0.68,0.6364,0.79,0.2985,10,18,28,2011-06-29 01:00:00,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0
4205,2011-06-29,3,0,6,2,0,3,1,1,0.66,0.6061,0.83,0.2239,7,9,16,2011-06-29 02:00:00,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0
4206,2011-06-29,3,0,6,3,0,3,1,2,0.66,0.6061,0.83,0.1045,2,3,5,2011-06-29 03:00:00,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0
4207,2011-06-29,3,0,6,4,0,3,1,1,0.66,0.6061,0.83,0.1045,0,5,5,2011-06-29 04:00:00,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0
4208,2011-06-29,3,0,6,5,0,3,1,1,0.64,0.5758,0.83,0.194,3,19,22,2011-06-29 05:00:00,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0
4209,2011-06-29,3,0,6,6,0,3,1,1,0.66,0.6212,0.69,0.2985,12,104,116,2011-06-29 06:00:00,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0
4210,2011-06-29,3,0,6,7,0,3,1,1,0.7,0.6515,0.54,0.2239,18,318,336,2011-06-29 07:00:00,0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0
4211,2011-06-29,3,0,6,8,0,3,1,1,0.7,0.6515,0.48,0.2836,41,499,540,2011-06-29 08:00:00,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0
4212,2011-06-29,3,0,6,9,0,3,1,1,0.72,0.6515,0.45,0.3881,32,189,221,2011-06-29 09:00:00,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0
4213,2011-06-29,3,0,6,10,0,3,1,1,0.74,0.6667,0.42,0.2836,31,95,126,2011-06-29 10:00:00,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0
